Horizon,SampleSize,lb,ub,ub_l,ub_r
5,10,2530.74,2611.43,2347.36,2875.5
5,10,2531.58,2997.03,2670.92,3323.14
5,10,2533.58,3026,2719.42,3332.57
5,10,2536.84,2741.89,2436.42,3047.36
5,10,2538.98,2774.23,2428.57,3119.88
5,10,2558.42,2854.1,2498.6,3209.61
5,10,2559.84,2774.32,2491.82,3056.81
5,10,2560.39,2700.54,2503.24,2897.85
5,10,2573.73,2455.73,2179.91,2731.56
5,10,2574.01,2695.33,2288.31,3102.35
5,10,2574.87,3687.55,3428,3947.1
5,10,2582.4,2606.78,2367.3,2846.26
5,10,2584.51,2758.66,2502.77,3014.55
5,10,2588.85,2357.69,1978.63,2736.76
5,10,2593.28,3511.42,3400.78,3622.06
5,10,2594.5,2522.54,2168.5,2876.59
5,10,2596.2,2480.93,2269.74,2692.12
5,10,2601.57,2814.85,2427.03,3202.67
5,10,2604.16,2812.81,2467.06,3158.56
5,10,2604.16,2434.97,2231.07,2638.87
5,10,2604.16,2623.94,2242.95,3004.93
5,10,2604.16,2518.65,2150.51,2886.79
5,10,2604.16,2810.95,2472.76,3149.14
5,10,2604.16,2431.94,2336.86,2527.02
5,20,1289.64,2669.13,2413.59,2924.66
5,20,2376.3,2477.59,2255.25,2699.93
5,20,2379.62,2945.95,2711.82,3180.07
5,20,2379.8,2782.51,2512.26,3052.76
5,20,2379.8,2700.21,2453.33,2947.09
5,20,2396.84,2621.13,2367.84,2874.41
5,20,2403.35,2615.85,2380.16,2851.54
5,20,2413.87,2689.65,2459.99,2919.31
5,20,2415.54,3343.49,3153.56,3533.43
5,20,2439.86,3272.62,3096.58,3448.67
5,20,2443.31,2759.53,2537.9,2981.17
5,20,2444.37,2662.83,2460.45,2865.2
5,20,2457.4,2675.66,2495.59,2855.73
5,20,2463.65,2788.09,2575.19,3000.99
5,20,2468.61,3274.39,2969.92,3578.86
5,20,2468.67,3125.26,2956.95,3293.57
5,20,2475.94,2843.67,2635.05,3052.28
5,20,2477.18,2605.27,2370.49,2840.05
5,20,2477.46,2862.77,2661.29,3064.25
5,20,2503.7,2956.51,2737.41,3175.61
5,20,2509.74,3516.51,3319.58,3713.44
5,20,2512.89,2571.33,2397.8,2744.87
5,20,2517.87,2641.99,2427.69,2856.29
5,20,2523.03,2829.33,2598.67,3059.98
5,20,2528.88,2772.07,2557.65,2986.5
5,20,2532.84,2603.41,2329.49,2877.33
5,20,2534.55,2927.16,2661.48,3192.84
5,20,2536.89,3295.77,3051.48,3540.07
5,20,2550.32,2778.56,2504.49,3052.63
5,20,2556.83,2697.5,2519.16,2875.84
5,20,2560.15,2702.89,2541.72,2864.06
5,20,2561.94,2873.15,2667.51,3078.79
5,20,2567.11,2916.29,2723.3,3109.27
5,20,2572.17,2560.27,2309.74,2810.79
5,20,2573.81,2880.49,2629.31,3131.67
5,20,2583.36,3763.83,3587.86,3939.8
5,20,2588.65,3053.48,2853.96,3253.01
5,20,2597.09,3752.09,3534.12,3970.05
5,20,2598.65,2380.61,2205.48,2555.74
5,20,2599.13,2481.88,2271.82,2691.94
5,20,2604.16,2641.94,2416.51,2867.36
5,20,2604.16,2536.96,2297.15,2776.77
5,20,2604.16,2932.82,2670.66,3194.97
5,20,2604.16,2650.05,2383.92,2916.18
5,20,2604.16,2662.49,2395.15,2929.82
5,20,2604.16,2684.14,2570.73,2797.55
5,50,1289.18,2579.63,2423.62,2735.64
5,50,2376.3,2797.1,2664.61,2929.59
5,50,2379.62,2687.72,2553.06,2822.37
5,50,2379.8,2501.57,2355.39,2647.76
