SampleSize,lb,ub,ub_l,ub_r
20,3605.77,3607.91,3587.81,3628.01
50,918.708,3596.36,3491.87,3700.86
50,2687.19,3635.87,3521.47,3750.27
50,3381.8,3594.12,3496.6,3691.64
50,3382.29,3557.57,3449.75,3665.4
50,3391.06,3641.88,3531.14,3752.61
50,3391.06,3696.67,3584.57,3808.77
50,3391.14,3629.96,3519.78,3740.15
50,3391.14,3596.44,3499.55,3693.32
50,3405.91,3552.48,3448.79,3656.17
50,3408.16,3682.47,3582.49,3782.45
50,3408.75,3724.11,3601.83,3846.38
50,3411.15,3582.11,3484.28,3679.94
50,3415.39,3770.34,3643.46,3897.21
50,3418.01,4091.74,3974.71,4208.76
50,3455.68,3621.11,3518.38,3723.84
50,3464.63,3602.66,3494.49,3710.84
50,3465.75,3746.93,3645.31,3848.55
50,3466.81,4010.48,3895.03,4125.93
50,3472.69,3704.56,3598.08,3811.04
50,3473.33,3691.93,3552.62,3831.24
50,3477.07,3710.18,3615.26,3805.09
50,3483.85,3714.24,3604.57,3823.92
50,3484.56,3597.48,3492.94,3702.02
50,3487.52,3734.64,3640.39,3828.88
50,3490.73,3864.8,3742.16,3987.44
50,3492.73,3701.1,3611.81,3790.4
50,3492.73,3625.87,3523.6,3728.13
50,3495.31,3765.4,3669.61,3861.19
50,3498.83,3603.87,3504.13,3703.62
50,3499.84,3638.21,3528.44,3747.98
50,3500.98,4171.66,4057.54,4285.78
50,3505.22,3862.25,3761.46,3963.04
50,3507.76,3708.55,3596.8,3820.3
50,3508.52,3875.91,3774,3977.82
50,3508.83,4393.13,4275.17,4511.09
50,3512.93,4007.06,3893.27,4120.85
50,3515.17,3751.06,3642.75,3859.37
50,3516.36,3599.99,3494.19,3705.79
50,3517.24,3652.45,3550.15,3754.76
50,3518.84,3635.19,3531.22,3739.16
50,3519.35,3680.08,3579.29,3780.87
50,3524.8,3757.93,3644.45,3871.42
50,3525.58,3832.57,3719.44,3945.71
50,3527.56,3709.11,3625.04,3793.18
50,3531.68,3619.88,3500.26,3739.5
50,3535.32,3961.34,3816.02,4106.66
50,3535.86,3743.64,3628.15,3859.12
50,3535.9,3778.82,3673.94,3883.7
50,3536.47,3741.28,3641.28,3841.29
50,3538.77,3738.22,3637.39,3839.05
50,3544.29,3655.59,3543.81,3767.37
50,3546.77,3732.47,3633.19,3831.74
50,3549.97,3617.9,3511.86,3723.93
50,3555.77,3803.14,3696.93,3909.35
50,3557.03,3565.18,3456.23,3674.12
50,3557.39,3811.92,3712.15,3911.69
50,3558.12,4032.8,3941.48,4124.11
50,3558.2,4313.51,4221.09,4405.92
50,3562.32,3673.14,3568.78,3777.49
50,3565.76,4212.25,4059.7,4364.81
50,3566.46,3747.63,3635.03,3860.23
50,3569.05,3668.13,3563.13,3773.12
50,3569.48,3771.79,3672.23,3871.35
50,3571.69,3882.25,3782.54,3981.95
50,3571.99,3595.2,3485.39,3705.01
50,3574.57,3778.17,3666.37,3889.96
50,3575.77,3798.55,3691.51,3905.59
50,3576.15,3619.39,3508.94,3729.83
50,3578.21,3854.42,3745.4,3963.44
50,3578.67,3618.01,3520.42,3715.61
50,3580.83,4671.91,4575.2,4768.63
50,3582.17,3724.58,3617.12,3832.03
50,3585.3,3820,3723.58,3916.43
50,3585.51,3786.18,3675.45,3896.91
50,3593.52,3692.47,3581.07,3803.88
50,3594.12,4555.09,4435.39,4674.79
50,3596.07,3642.14,3537.43,3746.86
